countryiso3code,country,date,DT.ODA.DACD.HLTH.BAS.CD,DT.ODA.DACD.HLTH.CD,DT.ODA.DACD.HLTH.GEN.CD
AFR,Africa,2002,556666552.0,955533443.0,398866891.0
AFR,Africa,2003,716892046.0,1327777523.0,610885477.0
AFR,Africa,2004,916849033.0,1704434925.0,787585892.0
AFR,Africa,2005,1116544384.0,1964171351.0,847626967.0
AFR,Africa,2006,1445580561.0,2456742779.0,1011162218.0
AFR,Africa,2007,1945987680.0,2634207789.0,688220109.0
AFR,Africa,2008,2550522246.0,3358862537.0,808340291.0
AFR,Africa,2009,2995521141.0,3849857800.0,854336659.0
AFR,Africa,2010,3010795885.0,3874639164.0,863843279.0
AFR,Africa,2011,3458380340.0,4388198887.0,929818547.0
AGO,Angola,2002,14658155.0,18857316.0,4199161.0
AGO,Angola,2003,20358627.0,27138071.0,6779444.0
AGO,Angola,2004,10397367.0,31021491.0,20624124.0
AGO,Angola,2005,37736395.0,64220495.0,26484100.0
AGO,Angola,2006,22838431.0,28974618.0,6136187.0
AGO,Angola,2007,45023960.0,51167401.0,6143441.0
AGO,Angola,2008,68404849.0,73384039.0,4979190.0
AGO,Angola,2009,49067278.0,56411826.0,7344548.0
AGO,Angola,2010,49749306.0,53352228.0,3602922.0
AGO,Angola,2011,35692613.0,40476301.0,4783688.0
BDI,Burundi,2002,2407793.0,3962884.0,1555091.0
BDI,Burundi,2003,4597907.0,10502635.0,5904728.0
BDI,Burundi,2004,7607937.0,13525297.0,5917360.0
BDI,Burundi,2005,13673131.0,18119556.0,4446425.0
BDI,Burundi,2006,13872375.0,16574111.0,2701736.0
BDI,Burundi,2007,24370499.0,26368216.0,1997717.0
BDI,Burundi,2008,39538554.0,43875474.0,4336920.0
BDI,Burundi,2009,29754700.0,35949351.0,6194651.0
BDI,Burundi,2010,49582585.0,62142435.0,12559850.0
BDI,Burundi,2011,47897777.0,71067309.0,23169532.0
BEN,Benin,2002,11594351.0,16840540.0,5246189.0
BEN,Benin,2003,12491645.0,17233249.0,4741604.0
BEN,Benin,2004,14924493.0,23464869.0,8540376.0
BEN,Benin,2005,17187484.0,31138787.0,13951303.0
BEN,Benin,2006,11959655.0,27314898.0,15355243.0
BEN,Benin,2007,27765062.0,35469207.0,7704145.0
BEN,Benin,2008,33828912.0,49661638.0,15832726.0
BEN,Benin,2009,44663342.0,62873638.0,18210296.0
BEN,Benin,2010,52419188.0,63066440.0,10647252.0
BEN,Benin,2011,54339258.0,75412490.0,21073232.0
BFA,Burkina Faso,2002,6096084.0,18277786.0,12181702.0
BFA,Burkina Faso,2003,10245892.0,37980983.0,27735091.0
BFA,Burkina Faso,2004,20556010.0,47680653.0,27124643.0
BFA,Burkina Faso,2005,20325728.0,40947997.0,20622269.0
BFA,Burkina Faso,2006,20717009.0,52702862.0,31985853.0
BFA,Burkina Faso,2007,40137215.0,47467084.0,7329869.0
BFA,Burkina Faso,2008,54237328.0,61800211.0,7562883.0
BFA,Burkina Faso,2009,67650892.0,78711141.0,11060249.0
BFA,Burkina Faso,2010,99344985.0,106783218.0,7438233.0
BFA,Burkina Faso,2011,50629149.0,70906751.0,20277602.0
BWA,Botswana,2002,611124.0,914784.0,303660.0
BWA,Botswana,2003,247087.0,1134849.0,887762.0
BWA,Botswana,2004,412032.0,1167570.0,755538.0
BWA,Botswana,2005,410130.0,1517529.0,1107399.0
BWA,Botswana,2006,2926728.0,4409818.0,1483090.0
BWA,Botswana,2007,2246375.0,3904222.0,1657847.0
BWA,Botswana,2008,2171545.0,4683190.0,2511645.0
BWA,Botswana,2009,1858448.0,2327224.0,468776.0
BWA,Botswana,2010,3296596.0,4017294.0,720698.0
BWA,Botswana,2011,2605844.0,5353680.0,2747836.0
CAF,Central African Republic,2002,6644589.0,7256940.0,612351.0
CAF,Central African Republic,2003,3053283.0,3799608.0,746325.0
CAF,Central African Republic,2004,9949870.0,11136197.0,1186327.0
CAF,Central African Republic,2005,7280642.0,8976811.0,1696169.0
CAF,Central African Republic,2006,6511259.0,7074890.0,563631.0
CAF,Central African Republic,2007,6238683.0,7484332.0,1245649.0
CAF,Central African Republic,2008,11865439.0,13332320.0,1466881.0
CAF,Central African Republic,2009,6463140.0,9029396.0,2566256.0
CAF,Central African Republic,2010,10054893.0,13367166.0,3312273.0
CAF,Central African Republic,2011,10363762.0,14795417.0,4431655.0
CIV,Cote d'Ivoire,2002,2494891.0,17493557.0,14998666.0
CIV,Cote d'Ivoire,2003,3885321.0,11036726.0,7151405.0
CIV,Cote d'Ivoire,2004,10236416.0,16709139.0,6472723.0
CIV,Cote d'Ivoire,2005,8273922.0,11603940.0,3330018.0
CIV,Cote d'Ivoire,2006,5058079.0,29060969.0,24002890.0
CIV,Cote d'Ivoire,2007,19165160.0,19959237.0,794077.0
CIV,Cote d'Ivoire,2008,22017520.0,22767007.0,749487.0
CIV,Cote d'Ivoire,2009,33169576.0,35271238.0,2101662.0
CIV,Cote d'Ivoire,2010,72898288.0,76108729.0,3210441.0
CIV,Cote d'Ivoire,2011,28793951.0,34503622.0,5709671.0
CMR,Cameroon,2002,4564952.0,8644428.0,4079476.0
CMR,Cameroon,2003,6821711.0,16432510.0,9610799.0
CMR,Cameroon,2004,15475623.0,24049193.0,8573570.0
CMR,Cameroon,2005,19358946.0,29280740.0,9921794.0
CMR,Cameroon,2006,15853918.0,36168957.0,20315039.0
CMR,Cameroon,2007,22539469.0,28096991.0,5557522.0
CMR,Cameroon,2008,25845643.0,35836361.0,9990718.0
CMR,Cameroon,2009,33964618.0,42750058.0,8785440.0
CMR,Cameroon,2010,22746231.0,33203753.0,10457522.0
CMR,Cameroon,2011,98154024.0,110932293.0,12778269.0
COD,"Congo, Dem. Rep.",2002,34192312.0,39695508.0,5503196.0
COD,"Congo, Dem. Rep.",2003,37678764.0,45182468.0,7503704.0
COD,"Congo, Dem. Rep.",2004,57657578.0,63202582.0,5545004.0
COD,"Congo, Dem. Rep.",2005,70793919.0,104155121.0,33361202.0
COD,"Congo, Dem. Rep.",2006,80454891.0,106007759.0,25552868.0
COD,"Congo, Dem. Rep.",2007,115565130.0,127153593.0,11588463.0
COD,"Congo, Dem. Rep.",2008,251354164.0,279114381.0,27760217.0
COD,"Congo, Dem. Rep.",2009,256862689.0,278994961.0,22132272.0
COD,"Congo, Dem. Rep.",2010,276412568.0,311525632.0,35113064.0
COD,"Congo, Dem. Rep.",2011,338094164.0,386832383.0,48738219.0
COG,"Congo, Rep.",2002,1414301.0,2692600.0,1278299.0
COG,"Congo, Rep.",2003,3084176.0,7674475.0,4590299.0
COG,"Congo, Rep.",2004,4881921.0,7844120.0,2962199.0
COG,"Congo, Rep.",2005,1526254.0,6367875.0,4841621.0
COG,"Congo, Rep.",2006,304667.0,2892763.0,2588096.0
COG,"Congo, Rep.",2007,3528594.0,7476215.0,3947621.0
COG,"Congo, Rep.",2008,4923521.0,10628559.0,5705038.0
COG,"Congo, Rep.",2009,4507968.0,5599012.0,1091044.0
COG,"Congo, Rep.",2010,23428823.0,25380503.0,1951680.0
COG,"Congo, Rep.",2011,18083992.0,24346903.0,6262911.0
COM,Comoros,2002,1985895.0,3854857.0,1868962.0
COM,Comoros,2003,2818569.0,4650108.0,1831539.0
COM,Comoros,2004,2001256.0,3100548.0,1099292.0
COM,Comoros,2005,771060.0,2189435.0,1418375.0
COM,Comoros,2006,695541.0,1360296.0,664755.0
COM,Comoros,2007,564889.0,1535373.0,970484.0
COM,Comoros,2008,653888.0,1065099.0,411211.0
COM,Comoros,2009,1729980.0,2577466.0,847486.0
COM,Comoros,2010,8371360.0,9480312.0,1108952.0
COM,Comoros,2011,4891312.0,5963002.0,1071690.0
CPV,Cape Verde,2002,193411.0,1803567.0,1610156.0
CPV,Cape Verde,2003,177775.0,3852378.0,3674603.0
CPV,Cape Verde,2004,1212525.0,6195593.0,4983068.0
CPV,Cape Verde,2005,862591.0,10065363.0,9202772.0
CPV,Cape Verde,2006,439102.0,10960729.0,10521627.0
CPV,Cape Verde,2007,168738.0,9419982.0,9251244.0
CPV,Cape Verde,2008,369692.0,8137705.0,7768013.0
CPV,Cape Verde,2009,600260.0,4893655.0,4293395.0
CPV,Cape Verde,2010,1537889.0,6840053.0,5302164.0
CPV,Cape Verde,2011,3509299.0,16019862.0,12510563.0
DJI,Djibouti,2002,1412194.0,1855902.0,443708.0
DJI,Djibouti,2003,861728.0,1126120.0,264392.0
DJI,Djibouti,2004,2757779.0,5330965.0,2573186.0
DJI,Djibouti,2005,4655795.0,6859285.0,2203490.0
DJI,Djibouti,2006,6108162.0,7973128.0,1864966.0
DJI,Djibouti,2007,8915978.0,11425720.0,2509742.0
DJI,Djibouti,2008,8316761.0,10962984.0,2646223.0
DJI,Djibouti,2009,5314791.0,13137806.0,7823015.0
DJI,Djibouti,2010,4107587.0,6673771.0,2566184.0
DJI,Djibouti,2011,3241943.0,6597659.0,3355716.0
DZA,Algeria,2002,484557.0,931415.0,446858.0
DZA,Algeria,2003,433271.0,486044.0,52773.0
DZA,Algeria,2004,417683.0,1040942.0,623259.0
DZA,Algeria,2005,576635.0,1201476.0,624841.0
DZA,Algeria,2006,358748.0,602172.0,243424.0
DZA,Algeria,2007,598291.0,2240488.0,1642197.0
DZA,Algeria,2008,254687.0,949896.0,695209.0
DZA,Algeria,2009,292456.0,504783.0,212327.0
DZA,Algeria,2010,483859.0,2294631.0,1810772.0
DZA,Algeria,2011,345790.0,4492455.0,4146665.0
EGY,"Egypt, Arab Rep.",2002,26660714.0,31076448.0,4415734.0
EGY,"Egypt, Arab Rep.",2003,8611206.0,15964032.0,7352826.0
EGY,"Egypt, Arab Rep.",2004,8967576.0,29688182.0,20720606.0
EGY,"Egypt, Arab Rep.",2005,17926135.0,58465799.0,40539664.0
EGY,"Egypt, Arab Rep.",2006,37392525.0,109438562.0,72046037.0
EGY,"Egypt, Arab Rep.",2007,64353222.0,69231186.0,4877964.0
EGY,"Egypt, Arab Rep.",2008,48397065.0,109625017.0,61227952.0
EGY,"Egypt, Arab Rep.",2009,15786730.0,25867952.0,10081222.0
EGY,"Egypt, Arab Rep.",2010,15830733.0,44651465.0,28820732.0
EGY,"Egypt, Arab Rep.",2011,13836450.0,45100793.0,31264343.0
ERI,Eritrea,2002,10735870.0,14552952.0,3817082.0
ERI,Eritrea,2003,14153526.0,19720160.0,5566634.0
ERI,Eritrea,2004,9602197.0,17007834.0,7405637.0
ERI,Eritrea,2005,9465351.0,15779896.0,6314545.0
ERI,Eritrea,2006,5511994.0,7449203.0,1937209.0
ERI,Eritrea,2007,13385339.0,14028330.0,642991.0
ERI,Eritrea,2008,9462317.0,13142827.0,3680510.0
ERI,Eritrea,2009,4702234.0,6005410.0,1303176.0
ERI,Eritrea,2010,29379081.0,30641766.0,1262685.0
ERI,Eritrea,2011,10771777.0,12789295.0,2017518.0
ETH,Ethiopia,2002,37086140.0,54380366.0,17294226.0
ETH,Ethiopia,2003,88287995.0,109592762.0,21304767.0
ETH,Ethiopia,2004,50038840.0,100331960.0,50293120.0
ETH,Ethiopia,2005,77008197.0,95950071.0,18941874.0
ETH,Ethiopia,2006,164851500.0,184823976.0,19972476.0
ETH,Ethiopia,2007,230377495.0,243892083.0,13514588.0
ETH,Ethiopia,2008,141645562.0,169970637.0,28325075.0
ETH,Ethiopia,2009,257175899.0,295056097.0,37880198.0
ETH,Ethiopia,2010,193894674.0,214114680.0,20220006.0
ETH,Ethiopia,2011,336295560.0,368669646.0,32374086.0
GAB,Gabon,2002,,2295873.0,2295873.0
GAB,Gabon,2003,584616.0,2802529.0,2217913.0
GAB,Gabon,2004,2498792.0,4426847.0,1928055.0
GAB,Gabon,2005,4397449.0,5784492.0,1387043.0
GAB,Gabon,2006,5820765.0,8310175.0,2489410.0
GAB,Gabon,2007,4225522.0,4859666.0,634144.0
GAB,Gabon,2008,3253963.0,4428022.0,1174059.0
GAB,Gabon,2009,6765345.0,7223129.0,457784.0
GAB,Gabon,2010,2365912.0,3265762.0,899850.0
GAB,Gabon,2011,2374495.0,4711828.0,2337333.0
GHA,Ghana,2002,13767577.0,45385305.0,31617728.0
GHA,Ghana,2003,20892027.0,85879245.0,64987218.0
GHA,Ghana,2004,17898727.0,117092999.0,99194272.0
GHA,Ghana,2005,37549001.0,132498249.0,94949248.0
GHA,Ghana,2006,34294545.0,117591540.0,83296995.0
GHA,Ghana,2007,53319474.0,126466774.0,73147300.0
GHA,Ghana,2008,96028780.0,157725006.0,61696226.0
GHA,Ghana,2009,115035459.0,151371357.0,36335898.0
GHA,Ghana,2010,130187215.0,178800944.0,48613729.0
GHA,Ghana,2011,103430236.0,143625820.0,40195584.0
GIN,Guinea,2002,4560509.0,9680564.0,5120055.0
GIN,Guinea,2003,3949812.0,10385367.0,6435555.0
GIN,Guinea,2004,5117848.0,12336925.0,7219077.0
GIN,Guinea,2005,6733890.0,15659520.0,8925630.0
GIN,Guinea,2006,5684330.0,17968914.0,12284584.0
GIN,Guinea,2007,8237369.0,17986324.0,9748955.0
GIN,Guinea,2008,10069708.0,17977180.0,7907472.0
GIN,Guinea,2009,9708021.0,13844293.0,4136272.0
GIN,Guinea,2010,25073119.0,25779036.0,705917.0
GIN,Guinea,2011,8584423.0,13400566.0,4816143.0
GMB,"Gambia, The",2002,1079534.0,4182641.0,3103107.0
GMB,"Gambia, The",2003,1717669.0,4458231.0,2740562.0
GMB,"Gambia, The",2004,3130045.0,7327047.0,4197002.0
GMB,"Gambia, The",2005,5467258.0,8658966.0,3191708.0
GMB,"Gambia, The",2006,4533987.0,8858595.0,4324608.0
GMB,"Gambia, The",2007,9073586.0,11072940.0,1999354.0
GMB,"Gambia, The",2008,8381135.0,9254074.0,872939.0
GMB,"Gambia, The",2009,8063515.0,10074629.0,2011114.0
GMB,"Gambia, The",2010,15502717.0,17003213.0,1500496.0
GMB,"Gambia, The",2011,13422095.0,20582245.0,7160150.0
GNB,Guinea-Bissau,2002,1510599.0,4426050.0,2915451.0
GNB,Guinea-Bissau,2003,1023086.0,5231308.0,4208222.0
GNB,Guinea-Bissau,2004,2786569.0,8061623.0,5275054.0
GNB,Guinea-Bissau,2005,3356609.0,8850465.0,5493856.0
GNB,Guinea-Bissau,2006,2724192.0,10692834.0,7968642.0
GNB,Guinea-Bissau,2007,5925736.0,15912894.0,9987158.0
GNB,Guinea-Bissau,2008,5926173.0,9684156.0,3757983.0
GNB,Guinea-Bissau,2009,5547956.0,9809573.0,4261617.0
GNB,Guinea-Bissau,2010,13953590.0,16236095.0,2282505.0
GNB,Guinea-Bissau,2011,6667285.0,10820417.0,4153132.0
GNQ,Equatorial Guinea,2002,1679273.0,2096527.0,417254.0
GNQ,Equatorial Guinea,2003,2570981.0,2782695.0,211714.0
GNQ,Equatorial Guinea,2004,3160870.0,3900676.0,739806.0
GNQ,Equatorial Guinea,2005,4326960.0,6176401.0,1849441.0
GNQ,Equatorial Guinea,2006,9058850.0,9884449.0,825599.0
GNQ,Equatorial Guinea,2007,6014235.0,8233807.0,2219572.0
